last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Devers, Rafael,646240,2019,0.298,0.528,0.377,0.368,0.351,0.23,0.435,0.424,92.5,10.4,9,
Naylor, Josh,647304,2019,0.238,0.38,0.306,0.298,0.305,0.142,0.361,0.349,89.6,4.5,6.3,
Diaz, Aledmys,649557,2019,0.264,0.424,0.345,0.343,0.357,0.16,0.341,0.337,88.3,12,6.4,
Urias, Luis,649966,2019,0.226,0.354,0.294,0.307,0.332,0.128,0.311,0.331,87.3,10.1,4.4,
Arraez, Luis,650333,2019,0.287,0.406,0.36,0.334,0.359,0.119,0.356,0.324,87.1,11.4,2.7,
Jimenez, Eloy,650391,2019,0.261,0.515,0.343,0.347,0.311,0.254,0.445,0.45,91.2,9.3,12.8,
Torres, Gleyber,650402,2019,0.257,0.492,0.358,0.34,0.32,0.234,0.43,0.404,89.1,17.7,10.1,
Diaz, Yandy,650490,2019,0.279,0.486,0.341,0.355,0.353,0.207,0.376,0.395,91.7,5.7,10.4,
Rengifo, Luis,650859,2019,0.235,0.367,0.298,0.306,0.322,0.131,0.336,0.347,87.1,9.6,6,
Allen, Greg,656185,2019,0.226,0.333,0.274,0.275,0.289,0.108,0.31,0.312,87.3,9.2,2.7,
Chapman, Matt,656305,2019,0.251,0.502,0.354,0.358,0.345,0.252,0.408,0.415,92.7,16.6,12.1,
Chavis, Michael,656308,2019,0.22,0.403,0.323,0.298,0.293,0.183,0.454,0.415,88.7,11.4,10.5,
Diaz, Isan,656371,2019,0.177,0.317,0.248,0.257,0.263,0.14,0.292,0.307,88.5,18.2,7.4,
Haseley, Adam,656514,2019,0.218,0.33,0.309,0.269,0.279,0.112,0.38,0.321,87.3,5,3.7,
Hoskins, Rhys,656555,2019,0.215,0.417,0.347,0.337,0.358,0.201,0.392,0.375,89.7,24,9.7,
Luplow, Jordan,656669,2019,0.247,0.474,0.383,0.352,0.348,0.228,0.46,0.41,89.6,16.1,12.1,
O'Hearn, Ryan,656811,2019,0.222,0.408,0.278,0.307,0.306,0.186,0.328,0.374,90.5,13,9.1,
Schwarber, Kyle,656941,2019,0.264,0.553,0.357,0.375,0.354,0.29,0.442,0.472,93.5,15.5,14.5,
Verdugo, Alex,657077,2019,0.289,0.458,0.341,0.339,0.34,0.168,0.365,0.363,89.4,9,5.7,
DeJong, Paul,657557,2019,0.237,0.446,0.322,0.331,0.325,0.209,0.368,0.383,87,18.3,8.6,
Laureano, Ramon,657656,2019,0.268,0.484,0.356,0.342,0.325,0.216,0.453,0.434,89.7,14.7,9.7,
Moncada, Yoan,660162,2019,0.282,0.518,0.379,0.358,0.337,0.236,0.505,0.472,93.1,12.3,12.2,
Ohtani, Shohei,660271,2019,0.284,0.493,0.352,0.354,0.343,0.208,0.45,0.452,92.8,6.8,12.2,
Acuna Jr., Ronald,660670,2019,0.279,0.574,0.369,0.39,0.365,0.294,0.467,0.502,90.6,14.2,15,
Riley, Austin,663586,2019,0.227,0.46,0.307,0.309,0.281,0.234,0.462,0.465,89.4,20.6,13.7,
France, Ty,664034,2019,0.228,0.39,0.296,0.294,0.289,0.162,0.355,0.352,88.9,15.1,5.9,
Lowe, Brandon,664040,2019,0.237,0.5,0.354,0.341,0.308,0.263,0.516,0.493,91.6,19.2,16.3,
Bader, Harrison,664056,2019,0.213,0.405,0.293,0.314,0.324,0.192,0.351,0.39,88.4,15.3,9.9,
Fletcher, David,664058,2019,0.292,0.371,0.318,0.319,0.352,0.079,0.319,0.32,83.8,9.9,0.2,
Kingery, Scott,664068,2019,0.246,0.434,0.329,0.316,0.305,0.188,0.439,0.418,88.4,17.8,8,
Moore, Dylan,664238,2019,0.19,0.336,0.299,0.277,0.288,0.146,0.391,0.351,88.4,19.2,6.5,
Tatis Jr., Fernando,665487,2019,0.256,0.491,0.398,0.347,0.327,0.235,0.547,0.463,90.4,6.7,13.2,
Guerrero Jr., Vladimir,665489,2019,0.256,0.435,0.329,0.329,0.326,0.179,0.363,0.363,89.4,6.7,7.7,
Soto, Juan,665742,2019,0.285,0.575,0.394,0.409,0.405,0.29,0.442,0.465,92,12.5,12.3,
Bichette, Bo,666182,2019,0.269,0.475,0.384,0.337,0.32,0.206,0.483,0.415,90,10.4,8.8,
Gurriel Jr., Lourdes,666971,2019,0.251,0.502,0.358,0.34,0.306,0.251,0.454,0.428,90.4,14.4,11.2,
Reynolds, Bryan,668804,2019,0.293,0.474,0.371,0.359,0.361,0.181,0.446,0.429,89.5,9.4,6.7,
Senzel, Nick,669222,2019,0.239,0.407,0.315,0.305,0.3,0.168,0.385,0.371,87.8,11.1,8,
Edman, Tommy,669242,2019,0.283,0.441,0.357,0.331,0.331,0.158,0.409,0.375,87.4,14.2,5.3,
Hiura, Keston,669374,2019,0.256,0.514,0.388,0.352,0.327,0.258,0.54,0.485,91.4,16.4,13.5,
Lopez, Nicky,670032,2019,0.223,0.282,0.26,0.242,0.261,0.059,0.275,0.254,85.1,3.1,1.2,
Alvarez, Yordan,670541,2019,0.288,0.597,0.432,0.41,0.393,0.309,0.557,0.522,92.2,13.4,16.7,
Cabrera, Miguel,408234,2020,0.288,0.52,0.323,0.379,0.366,0.231,0.37,0.454,93.2,12.1,9.7,
Cruz Jr., Nelson,443558,2020,0.269,0.545,0.411,0.383,0.369,0.276,0.544,0.5,91.6,9.4,15,
Peralta, David,444482,2020,0.26,0.375,0.333,0.299,0.304,0.115,0.397,0.351,89.2,6.4,5,
Longoria, Evan,446334,2020,0.282,0.524,0.308,0.364,0.329,0.243,0.351,0.427,91.7,10.7,11.5,
Cabrera, Asdrubal,452678,2020,0.243,0.429,0.319,0.317,0.307,0.186,0.355,0.353,89.5,13.7,6.5,
Blackmon, Charlie,453568,2020,0.276,0.426,0.34,0.331,0.34,0.15,0.388,0.377,86.9,13.5,4.9,
Solano, Donovan,456781,2020,0.278,0.417,0.357,0.32,0.32,0.139,0.421,0.372,88.5,15.5,4.6,
McCutchen, Andrew,457705,2020,0.276,0.484,0.327,0.358,0.346,0.208,0.369,0.414,89.7,18.2,8.2,
Votto, Joey,458015,2020,0.253,0.478,0.347,0.369,0.377,0.225,0.363,0.397,87.4,15.4,9.1,
Santana, Carlos,467793,2020,0.251,0.448,0.316,0.372,0.393,0.196,0.289,0.375,88,12.2,6.7,
Gurriel, Yuli,493329,2020,0.265,0.408,0.281,0.318,0.314,0.143,0.29,0.335,89.3,13.9,3.7,
Escobar, Eduardo,500871,2020,0.263,0.396,0.257,0.306,0.317,0.133,0.286,0.351,88.6,18.1,5.5,
Martinez, J.D.,502110,2020,0.229,0.443,0.29,0.318,0.306,0.214,0.345,0.387,89.5,14.7,11,
Reddick, Josh,502210,2020,0.246,0.36,0.304,0.303,0.319,0.114,0.337,0.336,85.9,19.1,4.8,
Goldschmidt, Paul,502671,2020,0.285,0.51,0.387,0.396,0.403,0.224,0.419,0.432,89.2,11.7,10.7,
Altuve, Jose,514888,2020,0.23,0.349,0.278,0.288,0.296,0.119,0.299,0.313,86.7,9.3,4.6,
Hernandez, Cesar,514917,2020,0.273,0.396,0.335,0.33,0.346,0.123,0.39,0.382,89.1,5.6,4,
Segura, Jean,516416,2020,0.25,0.391,0.333,0.318,0.334,0.141,0.38,0.358,87.7,11.2,6.1,
Marte, Starling,516782,2020,0.264,0.42,0.333,0.326,0.326,0.156,0.366,0.357,87.1,6.5,6.4,
Freeman, Freddie,518692,2020,0.343,0.663,0.456,0.466,0.463,0.32,0.495,0.509,92.4,17.2,14.7,
LeMahieu, DJ,518934,2020,0.312,0.46,0.429,0.366,0.376,0.147,0.449,0.372,91.3,2.3,2.9,
Rizzo, Anthony,519203,2020,0.266,0.413,0.326,0.355,0.383,0.147,0.323,0.364,87.7,16.7,7.8,
Flores, Wilmer,527038,2020,0.245,0.43,0.347,0.309,0.294,0.185,0.396,0.346,87.9,19,6.1,
Garcia, Avisail,541645,2020,0.244,0.375,0.296,0.317,0.339,0.131,0.331,0.365,87.4,8.7,3.8,
Ozuna, Marcell,542303,2020,0.313,0.635,0.444,0.436,0.41,0.323,0.548,0.536,93,16.4,15.4,
Villar, Jonathan,542340,2020,0.216,0.287,0.266,0.261,0.288,0.071,0.315,0.308,86.7,1.6,1.5,
Aguilar, Jesus,542583,2020,0.271,0.452,0.347,0.345,0.348,0.182,0.383,0.379,89.3,16,7.2,
Hicks, Aaron,543305,2020,0.256,0.435,0.351,0.374,0.405,0.179,0.344,0.38,88.2,11.1,6.9,
Rendon, Anthony,543685,2020,0.287,0.469,0.395,0.39,0.42,0.182,0.393,0.385,90.1,19.5,6.3,
Semien, Marcus,543760,2020,0.209,0.352,0.299,0.287,0.293,0.143,0.329,0.313,86.2,19.3,5,
Springer III, George,543807,2020,0.294,0.569,0.379,0.405,0.386,0.275,0.412,0.45,88.7,18.3,12.4,
Wong, Kolten,543939,2020,0.235,0.306,0.305,0.286,0.324,0.07,0.304,0.28,86.5,10.8,0.6,
Gregorius, Didi,544369,2020,0.263,0.396,0.348,0.311,0.322,0.132,0.369,0.324,83.8,17.8,4.2,
Grichuk, Randal,545341,2020,0.268,0.468,0.334,0.333,0.312,0.199,0.405,0.405,88.9,12.6,11.2,
Trout, Mike,545361,2020,0.291,0.612,0.407,0.428,0.405,0.321,0.494,0.529,93.7,23.1,15,
Ruiz, Rio,547004,2020,0.212,0.356,0.303,0.277,0.277,0.144,0.357,0.32,87.9,10.5,8.5,
Harper, Bryce,547180,2020,0.308,0.658,0.4,0.454,0.451,0.35,0.428,0.514,92.5,16,17.3,
Abreu, Jose,547989,2020,0.299,0.587,0.411,0.399,0.357,0.288,0.512,0.494,92.9,10.9,14.3,
Suarez, Eugenio,553993,2020,0.216,0.472,0.332,0.342,0.325,0.255,0.414,0.431,89.1,17.9,14.4,
Arenado, Nolan,571448,2020,0.235,0.392,0.308,0.288,0.289,0.157,0.317,0.293,87.8,19.1,5.4,
Muncy, Max,571970,2020,0.229,0.473,0.316,0.36,0.362,0.244,0.338,0.413,88.5,14.2,12.4,
Myers, Wil,571976,2020,0.285,0.589,0.4,0.396,0.351,0.304,0.515,0.511,91,13.4,14.8,
Pollock, AJ,572041,2020,0.269,0.499,0.364,0.345,0.312,0.23,0.447,0.422,89.6,13,10.5,
Seager, Kyle,572122,2020,0.252,0.472,0.338,0.365,0.371,0.22,0.326,0.364,89.1,17.7,10.2,
Voit III, Luke,572228,2020,0.279,0.586,0.393,0.389,0.34,0.308,0.487,0.482,88.9,15.2,13.1,
Walker, Christian,572233,2020,0.266,0.454,0.339,0.339,0.331,0.188,0.391,0.392,90.4,11.5,6.4,
Dickerson, Corey,572816,2020,0.248,0.396,0.308,0.305,0.303,0.148,0.341,0.337,85.7,11.1,5.7,
Yastrzemski, Mike,573262,2020,0.251,0.488,0.407,0.364,0.36,0.238,0.503,0.434,88.2,18.4,10.9,
Contreras, Willson,575929,2020,0.249,0.441,0.336,0.353,0.361,0.192,0.387,0.416,89.8,9.1,10.4,
Canha, Mark,592192,2020,0.241,0.415,0.351,0.359,0.387,0.175,0.37,0.383,89.7,19.4,7.7,
Castellanos, Nick,592206,2020,0.274,0.545,0.329,0.375,0.343,0.271,0.426,0.5,91,16.5,16,
Machado, Manny,592518,2020,0.3,0.54,0.391,0.385,0.372,0.24,0.432,0.423,90.2,15.6,11,
Moran, Colin,592567,2020,0.254,0.479,0.34,0.35,0.332,0.225,0.42,0.435,91.9,8.3,13.4,
Rosario, Eddie,592696,2020,0.246,0.437,0.333,0.318,0.307,0.192,0.362,0.342,87.5,18.1,6.2,
Yelich, Christian,592885,2020,0.25,0.473,0.343,0.378,0.394,0.223,0.423,0.494,94,7.1,12.1,
Merrifield, Whit,593160,2020,0.292,0.439,0.329,0.336,0.334,0.146,0.351,0.36,86.1,15.8,5.1,
Bogaerts, Xander,593428,2020,0.259,0.474,0.368,0.341,0.327,0.215,0.422,0.386,89,8.7,8.6,
Alberto, Hanser,593643,2020,0.247,0.319,0.301,0.261,0.272,0.073,0.332,0.284,82.3,13.2,1,
Polanco, Jorge,593871,2020,0.263,0.381,0.289,0.304,0.308,0.118,0.314,0.333,86.6,16.1,2.8,
Sano, Miguel,593934,2020,0.215,0.483,0.317,0.326,0.288,0.267,0.542,0.564,95.2,20.2,22.9,
Calhoun, Kole,594777,2020,0.263,0.517,0.362,0.379,0.37,0.254,0.408,0.436,89.4,17,11.8,
Duvall, Adam,594807,2020,0.228,0.516,0.348,0.342,0.294,0.288,0.439,0.43,88.1,22.9,13.9,
Profar, Jurickson,595777,2020,0.282,0.411,0.335,0.338,0.35,0.129,0.35,0.354,87.2,11,3.2,
Baez, Javier,595879,2020,0.218,0.385,0.256,0.279,0.256,0.167,0.351,0.391,89.4,10.3,8.1,
Lindor, Francisco,596019,2020,0.279,0.441,0.324,0.346,0.356,0.162,0.341,0.371,89.9,13.5,5.6,
Story, Trevor,596115,2020,0.253,0.457,0.37,0.335,0.323,0.204,0.462,0.41,89.9,20.8,8.7,
Franco, Maikel,596748,2020,0.256,0.398,0.329,0.307,0.305,0.142,0.366,0.338,86.7,8.4,5.8,
Bradley Jr., Jackie,598265,2020,0.22,0.368,0.352,0.301,0.311,0.148,0.411,0.336,88.4,4.3,7.6,
La Stella, Tommy,600303,2020,0.275,0.423,0.355,0.348,0.366,0.148,0.324,0.315,88,17.1,4.8,
Nunez, Renato,600524,2020,0.227,0.431,0.347,0.315,0.298,0.204,0.461,0.408,86.3,21.1,12.1,
Candelario, Jeimer,600869,2020,0.277,0.471,0.373,0.356,0.351,0.194,0.457,0.432,90.2,13.3,10.3,
Ahmed, Nick,605113,2020,0.247,0.377,0.318,0.304,0.31,0.131,0.369,0.35,87.7,9.4,5.2,
Anderson, Brian,605119,2020,0.227,0.426,0.348,0.324,0.321,0.199,0.446,0.406,87.4,9.6,9.6,
Bell, Josh,605137,2020,0.228,0.381,0.286,0.297,0.308,0.153,0.348,0.365,91.7,5.9,8.6,
Betts, Mookie,605141,2020,0.283,0.485,0.39,0.362,0.359,0.202,0.428,0.392,90.7,18.5,7.7,
Davis, J.D.,605204,2020,0.258,0.43,0.339,0.359,0.381,0.172,0.38,0.414,90.1,3.3,8.9,
Tapia, Raimel,606132,2020,0.244,0.325,0.338,0.285,0.305,0.08,0.385,0.313,85.3,1.8,2,
Hernandez, Teoscar,606192,2020,0.296,0.614,0.384,0.401,0.346,0.318,0.536,0.564,93.3,15.3,18,
Nimmo, Brandon,607043,2020,0.257,0.43,0.387,0.364,0.387,0.173,0.416,0.381,87.2,7.6,7.7,
Turner, Trea,607208,2020,0.303,0.515,0.413,0.383,0.369,0.212,0.452,0.415,90.5,9.5,9.5,
Pillar, Kevin,607680,2020,0.272,0.435,0.341,0.328,0.322,0.163,0.394,0.379,87.1,13.4,5.4,
Ramirez, Jose,608070,2020,0.264,0.507,0.415,0.373,0.362,0.243,0.46,0.401,88.7,23.2,10.2,
Gallo, Joey,608336,2020,0.192,0.418,0.297,0.317,0.31,0.226,0.392,0.432,91.2,26.8,14,
Seager, Corey,608369,2020,0.331,0.656,0.394,0.434,0.381,0.325,0.445,0.498,93.2,11.9,15.8,
Mondesi, Adalberto,609275,2020,0.215,0.355,0.305,0.267,0.255,0.14,0.416,0.358,90.6,13.7,7.3,
Reyes, Franmil,614177,2020,0.245,0.442,0.341,0.342,0.328,0.197,0.44,0.444,92.4,11.2,12.9,
Swanson, Dansby,621020,2020,0.267,0.474,0.348,0.354,0.341,0.206,0.441,0.45,89.1,14.7,11.4,
Taylor, Chris,621035,2020,0.272,0.488,0.364,0.371,0.368,0.216,0.445,0.458,88,9.1,11.5,
Correa, Carlos,621043,2020,0.254,0.402,0.308,0.315,0.319,0.148,0.362,0.373,88.8,11.3,5.9,
Olson, Matt,621566,2020,0.224,0.453,0.316,0.34,0.336,0.23,0.403,0.45,92.3,19.6,12.8,
Reyes, Victor,622682,2020,0.287,0.43,0.307,0.329,0.324,0.143,0.367,0.398,90,10.7,3.8,
Alonso, Pete,624413,2020,0.226,0.466,0.342,0.335,0.323,0.24,0.419,0.409,90.2,15.5,12.8,
Biggio, Cavan,624415,2020,0.214,0.343,0.355,0.315,0.345,0.129,0.396,0.328,87.4,16.7,5,
Conforto, Michael,624424,2020,0.281,0.478,0.401,0.374,0.377,0.197,0.493,0.451,88.4,11,11,
Frazier, Adam,624428,2020,0.251,0.378,0.291,0.309,0.317,0.127,0.302,0.325,85.5,12.3,4,
Anderson, Tim,641313,2020,0.293,0.508,0.376,0.358,0.33,0.215,0.47,0.446,87.2,6.7,10.1,
Bellinger, Cody,641355,2020,0.284,0.494,0.337,0.374,0.373,0.21,0.361,0.413,89.3,16.6,9.4,
Crawford, J.P.,641487,2020,0.257,0.36,0.303,0.318,0.343,0.103,0.311,0.333,85.8,11.5,1.8,
Lewis, Kyle,641786,2020,0.239,0.433,0.349,0.344,0.347,0.194,0.444,0.436,88.3,11.1,11.7,
Adames, Willy,642715,2020,0.229,0.394,0.347,0.307,0.305,0.165,0.515,0.441,88.8,12.5,9.9,
Kiner-Falefa, Isiah,643396,2020,0.26,0.34,0.307,0.294,0.312,0.08,0.327,0.31,87.2,0.8,2.2,
McNeil, Jeff,643446,2020,0.277,0.407,0.36,0.337,0.355,0.13,0.368,0.339,86.6,11.5,2.5,
Devers, Rafael,646240,2020,0.256,0.46,0.337,0.328,0.304,0.204,0.438,0.425,93,10.6,12.1,
Jimenez, Eloy,650391,2020,0.278,0.54,0.373,0.364,0.317,0.262,0.481,0.469,92.4,5.7,16.5,
Schwarber, Kyle,656941,2020,0.224,0.441,0.307,0.34,0.34,0.218,0.368,0.429,92.8,8.8,11.2,
Verdugo, Alex,657077,2020,0.238,0.369,0.362,0.299,0.305,0.132,0.427,0.338,87,5.9,6.4,
White, Evan,657108,2020,0.19,0.387,0.261,0.292,0.269,0.197,0.399,0.461,91.7,13.7,14.1,
Laureano, Ramon,657656,2020,0.23,0.403,0.315,0.338,0.353,0.173,0.348,0.387,87.7,12.3,9.4,
Moncada, Yoan,660162,2020,0.207,0.336,0.309,0.29,0.306,0.129,0.394,0.359,87.8,13.9,6.2,
Acuna Jr., Ronald,660670,2020,0.254,0.591,0.413,0.42,0.409,0.337,0.546,0.559,92.4,18.6,16,
Riley, Austin,663586,2020,0.265,0.474,0.307,0.342,0.325,0.208,0.369,0.421,91,13.6,10,
Tucker, Kyle,663656,2020,0.261,0.449,0.349,0.327,0.318,0.188,0.412,0.383,91.1,14.9,9.1,
Grisham, Trent,663757,2020,0.266,0.482,0.349,0.368,0.366,0.216,0.418,0.449,88.3,13.5,11.1,
Happ, Ian,664023,2020,0.261,0.469,0.369,0.362,0.365,0.208,0.465,0.455,91.1,9,10.3,
Lowe, Brandon,664040,2020,0.261,0.55,0.385,0.384,0.356,0.289,0.48,0.479,89.8,18.1,17.5,
Fletcher, David,664058,2020,0.292,0.351,0.35,0.316,0.352,0.059,0.36,0.317,84.7,4.1,0.5,
Tatis Jr., Fernando,665487,2020,0.297,0.614,0.392,0.422,0.386,0.317,0.479,0.526,95.9,8.7,19.5,
Guerrero Jr., Vladimir,665489,2020,0.261,0.439,0.338,0.333,0.329,0.177,0.366,0.36,92.5,4.6,8.7,
Gurriel Jr., Lourdes,666971,2020,0.281,0.486,0.372,0.347,0.325,0.205,0.454,0.42,90.8,10.5,11.7,
Reynolds, Bryan,668804,2020,0.228,0.403,0.278,0.314,0.31,0.175,0.329,0.387,87.5,10.2,10.2,
Edman, Tommy,669242,2020,0.266,0.367,0.302,0.315,0.334,0.102,0.34,0.359,86.5,8.2,3.8,
Solak, Nick,669256,2020,0.264,0.388,0.297,0.318,0.326,0.124,0.323,0.351,89.9,9.4,4.7,
Hiura, Keston,669374,2020,0.21,0.435,0.304,0.318,0.299,0.225,0.42,0.447,87.4,14.3,14.2,
Robert Jr., Luis,673357,2020,0.221,0.462,0.316,0.326,0.296,0.241,0.43,0.449,87.9,16.7,13,
Beltre, Adrian,134181,2018,0.263,0.432,0.327,0.328,0.323,0.169,0.377,0.379,88.7,13.6,6.4,
Martinez, Victor,400121,2018,0.266,0.406,0.281,0.313,0.314,0.14,0.285,0.323,87.8,14.1,4.7,
Pujols, Albert,405395,2018,0.267,0.449,0.299,0.327,0.311,0.181,0.321,0.355,90,14.1,6.2,
Mauer, Joe,408045,2018,0.295,0.448,0.319,0.354,0.365,0.153,0.343,0.39,91.1,4.4,5,
Reyes, Jose,408314,2018,0.224,0.309,0.255,0.272,0.293,0.085,0.259,0.281,85.4,12.7,2.6,
Mathis, Jeff,425772,2018,0.183,0.283,0.243,0.244,0.259,0.1,0.301,0.303,87.6,15.4,3,
Choo, Shin-Soo,425783,2018,0.25,0.464,0.355,0.362,0.365,0.214,0.409,0.42,89.3,6.1,11.1,
Molina, Yadier,425877,2018,0.266,0.432,0.323,0.329,0.321,0.166,0.341,0.348,88.2,15.4,5.5,
Cano, Robinson,429664,2018,0.305,0.496,0.364,0.376,0.375,0.191,0.386,0.402,93,8.2,8.3,
Encarnacion, Edwin,429665,2018,0.245,0.479,0.346,0.356,0.341,0.234,0.404,0.421,89.9,18,11.2,
Bautista, Jose,430832,2018,0.22,0.388,0.324,0.337,0.364,0.168,0.37,0.396,90.8,19.8,7.9,
Jones, Adam,430945,2018,0.269,0.411,0.315,0.311,0.303,0.142,0.353,0.349,88.3,13.2,4.9,
Martin, Russell,431145,2018,0.198,0.323,0.305,0.308,0.342,0.125,0.308,0.313,90.6,10.1,6.3,
Granderson, Curtis,434158,2018,0.249,0.417,0.341,0.342,0.357,0.168,0.409,0.41,88.7,16.9,6.3,
Davis, Rajai,434658,2018,0.223,0.292,0.251,0.259,0.277,0.069,0.287,0.298,84.2,9.6,1.3,
Morales, Kendrys,434778,2018,0.269,0.518,0.329,0.373,0.353,0.249,0.372,0.436,92.3,10,12.1,
Kinsler, Ian,435079,2018,0.248,0.368,0.298,0.301,0.31,0.119,0.302,0.305,85.3,17.7,3.1,
McCann, Brian,435263,2018,0.216,0.324,0.286,0.284,0.305,0.108,0.294,0.291,86.3,23.6,3.3,
Walker, Neil,435522,2018,0.247,0.425,0.291,0.331,0.335,0.178,0.321,0.38,88.1,13.7,6.1,
Suzuki, Kurt,435559,2018,0.267,0.409,0.335,0.327,0.332,0.142,0.34,0.331,87.2,18.4,3.9,
Desmond, Ian,435622,2018,0.228,0.384,0.315,0.303,0.301,0.156,0.373,0.354,90.1,0.1,7,
Cruz Jr., Nelson,443558,2018,0.281,0.566,0.361,0.396,0.365,0.284,0.417,0.469,93.9,12.8,13.8,
Trumbo, Mark,444432,2018,0.267,0.45,0.329,0.335,0.32,0.183,0.407,0.415,92.8,10.4,10.2,
Peralta, David,444482,2018,0.278,0.472,0.368,0.35,0.34,0.194,0.437,0.412,91.5,6.7,7.8,
Pina, Manny,444489,2018,0.248,0.388,0.301,0.302,0.305,0.14,0.34,0.341,84.9,13.9,5.2,
Escobar, Alcides,444876,2018,0.238,0.327,0.261,0.274,0.288,0.089,0.273,0.29,84.6,10.6,2.1,
Jay, Jon,445055,2018,0.251,0.333,0.301,0.293,0.316,0.082,0.32,0.31,85.1,4.2,1.8,
Prado, Martin,445988,2018,0.254,0.338,0.263,0.282,0.297,0.084,0.288,0.313,87.5,9.3,2.5,
Duda, Lucas,446263,2018,0.242,0.452,0.315,0.331,0.315,0.21,0.399,0.424,89.5,19.6,10,
Wieters, Matt,446308,2018,0.226,0.386,0.308,0.31,0.321,0.159,0.32,0.323,87.1,18.5,4.7,
Longoria, Evan,446334,2018,0.249,0.426,0.295,0.309,0.289,0.177,0.347,0.366,88.5,13.6,7.6,
Cozart, Zack,446359,2018,0.231,0.35,0.289,0.295,0.309,0.119,0.297,0.305,85.6,17.4,2.2,
Guyer, Brandon,446386,2018,0.215,0.34,0.298,0.295,0.31,0.125,0.324,0.32,85.4,16.2,4.8,
Reynolds, Mark,448602,2018,0.225,0.424,0.342,0.317,0.308,0.199,0.433,0.392,89,18.3,10.3,
Davis, Chris,448801,2018,0.188,0.354,0.239,0.272,0.263,0.166,0.327,0.389,89.3,15.1,10.3,
Zobrist, Ben,450314,2018,0.275,0.39,0.355,0.333,0.354,0.115,0.361,0.333,89.9,9,3,
Fowler, Dexter,451594,2018,0.203,0.3,0.26,0.275,0.299,0.097,0.269,0.291,85.3,12.6,3.2,
Flowers, Tyler,452095,2018,0.23,0.4,0.315,0.334,0.346,0.171,0.356,0.389,90,12.9,6.8,
Pence, Hunter,452254,2018,0.225,0.338,0.254,0.263,0.261,0.113,0.314,0.327,88.2,6.1,5.1,
Span, Denard,452655,2018,0.28,0.388,0.33,0.335,0.361,0.108,0.345,0.351,87.2,13.3,2.7,
Cabrera, Asdrubal,452678,2018,0.251,0.432,0.332,0.32,0.306,0.181,0.387,0.373,90,14.6,7.2,
Blackmon, Charlie,453568,2018,0.276,0.445,0.368,0.346,0.346,0.169,0.425,0.394,87.5,12,6.5,
Blanco, Gregor,453923,2018,0.228,0.312,0.254,0.263,0.275,0.084,0.326,0.341,84.6,15.1,3.8,
Frazier, Todd,453943,2018,0.217,0.383,0.302,0.303,0.307,0.166,0.342,0.345,89.6,18.7,6.9,
Iannetta, Chris,455104,2018,0.225,0.402,0.32,0.331,0.35,0.177,0.358,0.378,92,13.6,9.3,
Maldonado, Martin,455117,2018,0.202,0.316,0.275,0.257,0.257,0.114,0.331,0.305,85.7,14.7,5,
Chirinos, Robinson,455139,2018,0.197,0.394,0.333,0.319,0.319,0.197,0.438,0.411,88,21.9,10.8,
Markakis, Nick,455976,2018,0.293,0.425,0.345,0.345,0.366,0.132,0.355,0.355,90.6,10.1,3.1,
Kratz, Erik,456124,2018,0.231,0.377,0.278,0.285,0.275,0.146,0.311,0.321,89.8,12.9,4.8,
Nunez, Eduardo,456488,2018,0.258,0.349,0.292,0.28,0.286,0.092,0.323,0.309,88.3,9.4,3.4,
Pearce, Steve,456665,2018,0.283,0.527,0.382,0.393,0.381,0.245,0.41,0.427,89.3,11.8,10.8,
Cain, Lorenzo,456715,2018,0.282,0.389,0.359,0.342,0.373,0.107,0.376,0.353,89.1,4.9,3.4,
McCutchen, Andrew,457705,2018,0.26,0.444,0.347,0.36,0.373,0.185,0.38,0.4,90,13.4,8.4,
Jackson, Austin,457706,2018,0.205,0.29,0.275,0.246,0.263,0.085,0.396,0.348,87,11.1,2.8,
Upton, Justin,457708,2018,0.25,0.466,0.348,0.354,0.342,0.216,0.447,0.458,90.7,11.9,14,
Maybin, Cameron,457727,2018,0.256,0.374,0.295,0.315,0.333,0.118,0.319,0.349,86.7,7.9,4.1,
Turner, Justin,457759,2018,0.292,0.486,0.396,0.381,0.391,0.194,0.41,0.391,89.1,18.3,7.7,
Posey III, Buster,457763,2018,0.274,0.416,0.326,0.336,0.351,0.141,0.328,0.341,89.1,10.3,5.2,
Bruce, Jay,457803,2018,0.25,0.442,0.296,0.338,0.337,0.192,0.327,0.389,88.4,21.4,9,
Votto, Joey,458015,2018,0.285,0.472,0.37,0.391,0.42,0.187,0.374,0.406,88.1,13.4,6.7,
Gardner, Brett,458731,2018,0.226,0.334,0.305,0.293,0.315,0.108,0.318,0.301,88,9.4,2.8,
Joyce, Matt,459964,2018,0.225,0.402,0.299,0.326,0.34,0.177,0.315,0.357,87.4,14.8,7,
Hundley, Nick,460026,2018,0.255,0.399,0.304,0.309,0.311,0.144,0.393,0.401,88.9,15.6,6.6,
Braun, Ryan,460075,2018,0.292,0.515,0.33,0.368,0.348,0.223,0.382,0.434,92.3,6.4,10.8,
Gordon, Alex,460086,2018,0.253,0.423,0.305,0.329,0.331,0.171,0.346,0.382,88.5,10.9,6.8,
