last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Marte, Ketel,606466,2022,0.251,0.377,0.317,0.315,0.333,0.126,0.343,0.341,90.1,13.5,6.1,
Haase, Eric,606992,2022,0.239,0.399,0.322,0.302,0.292,0.161,0.42,0.39,87.7,17,8.7,
Nimmo, Brandon,607043,2022,0.261,0.409,0.353,0.342,0.357,0.148,0.377,0.361,89.4,6.1,7,
Peterson, Jace,607054,2022,0.235,0.366,0.306,0.303,0.316,0.132,0.371,0.366,88.6,9.7,7.2,
Turner, Trea,607208,2022,0.276,0.432,0.35,0.335,0.327,0.156,0.406,0.387,88.9,10.2,7.6,
Stallings, Jacob,607732,2022,0.221,0.312,0.265,0.274,0.292,0.091,0.292,0.304,86.7,12.9,3.4,
Ramirez, Jose,608070,2022,0.255,0.408,0.363,0.32,0.337,0.153,0.385,0.331,87.7,20.7,6.6,
Bregman, Alex,608324,2022,0.257,0.416,0.358,0.35,0.369,0.159,0.348,0.337,88.9,19.5,7.3,
Gallo, Joey,608336,2022,0.169,0.373,0.286,0.295,0.288,0.205,0.407,0.427,89.6,23.8,17.6,
Kelly, Carson,608348,2022,0.225,0.345,0.275,0.288,0.298,0.12,0.297,0.316,87.7,14.7,5.2,
Seager, Corey,608369,2022,0.283,0.51,0.331,0.372,0.354,0.226,0.358,0.413,91.1,13.6,10.5,
Winker, Jesse,608385,2022,0.249,0.403,0.313,0.345,0.369,0.154,0.311,0.361,87.7,16.8,7.6,
Reynolds, Matt,608703,2022,0.215,0.305,0.293,0.272,0.294,0.09,0.366,0.331,90.2,5.6,3,
Meneses, Joey,608841,2022,0.267,0.457,0.395,0.332,0.315,0.19,0.491,0.404,91.4,9.5,9.9,
Cordero, Franchy,614173,2022,0.228,0.402,0.304,0.313,0.31,0.174,0.418,0.434,89.7,12.7,12.3,
Reyes, Franmil,614177,2022,0.203,0.358,0.28,0.275,0.259,0.155,0.388,0.381,92,9.9,11.3,
Swanson, Dansby,621020,2022,0.257,0.461,0.337,0.337,0.314,0.204,0.431,0.43,90.2,15.7,10.8,
Newman, Kevin,621028,2022,0.26,0.332,0.303,0.285,0.304,0.072,0.334,0.312,85.8,13.1,1.6,
Taylor, Chris,621035,2022,0.195,0.34,0.298,0.277,0.282,0.145,0.417,0.379,87.4,20.4,10.2,
